MaxTouch Analyzer Version :,Sensor Inspector Ver.2.18
Log Create Time :,2019/05/07 14:18:57
Output File Name :, Log\PASS\_504E3835332E3120FF0A0C0CFFFF0D0D_HC-107082-NB_0507_141857.csv
Windows OS Version :, Windows 7,
Device in System =, \\?\hid#vid_03eb&pid_6123#6&2ffc47e&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}(QRG-I/F)
Port in System =, PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)
Bridge board =, USB5030
Device Address =, 0x4B
Power switching =, False
Spend time =, 26.1
Memory(MB) =, 4270
Test Profile =, Default
Operator ID #, 
WorkStation ID #, HC-107082-NB
Barcode FPC #, 
Barcode CG #, 
Barcode LCM #, 
Maxtouch =, maXTouch mXT2954T2
Control File =, C:\mxt336U.txt (MD5: )Control File doesn't exist)
Family ID =, 0xA4
Variant ID =, 0x0D
Revision ID =, 0x03
Bootloader ID =, 0x5304
FW Version =, 0x23AB
Config Version =, 0x0103
Internal Config Version =, 0x0000
XCFG CheckSum=, 0x9F1F72, 
Chip CheckSum =, 0x9F1F72
Chip Device Unique ID =, 504E3835332E3120FF0A0C0CFFFF0D0D
Matrix X Size =, 41
Matrix Y Size =, 72
Screen X Size =, 38
Screen Y Size =, 51
T8 Charge Time =, 23
T9 / T100 Sensor Gain =, 13

/////////////////////////
// Overall Test Result //
/////////////////////////
PASS
OVERALL: PASS

//////////////////////
// Test Matrix list //
//////////////////////
Overall,PASS
Test Options,0) Inspector Options,PASS,Pass
Chip Upgrade,2) Chip ID check,PASS,Pass. FID:A4 VID:0D RID:03
Chip Upgrade,3) Load Firmware,PASS,Pass. Version matches. Skip.
Chip Upgrade,4) Confirm Firmware,PASS,Pass. Version match 0x23AB
Chip Upgrade,6) Load Configure,PASS,Pass. Chksum 0x9F1F72 match. Skip
Chip Upgrade,7) Confirm CheckSum,PASS,Pass. Chksum 0x9F1F72 match.
HW Test,14) Reset Pin Open Test,PASS,Pass
HW Test,15) INT/CHG Pin Test,PASS,Pass
HW Test,16) Processor Test,PASS,Pass
HW Test,17) AVDD Test,PASS,Pass
HW Test,18) Pin Fault Test,PASS,Pass
HW Test,24) I2C Test,PASS,Pass. I2C mode: OBP. Addr: 0x4B matches
Sensor Test,26) Ref check - 1 region,PASS,Pass. sensor max:22351 min:21978 range:373 meets spec
Sensor Test,29) Sensor Variant,PASS,Pass
Sensor Test,36) MicroDefect,PASS,Pass. Max Diff 0.5(CX15-16) 0.4(BX36-37) 4.2(CY33-34) 4.1(BY0-1)

// Reference value
Reference Value at Charger Time=,23
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,
X20,22142,22180,22229,22250,22222,22209,22231,22226,22194,22180,22209,22205,22310,22281,22209,22250,22266,22207,22091,22241,22157,22196,22228,22194,22104,22206,22088,22227,22202,22234,22222,22231,22140,22113,22264,22209,22200,22216,22234,22172,22182,22111,22302,22255,22223,22152,22263,22219,22210,22274,22154,
X21,22154,22198,22226,22255,22219,22217,22231,22225,22198,22191,22231,22214,22321,22307,22211,22258,22275,22213,22098,22238,22143,22202,22249,22207,22121,22212,22096,22238,22212,22246,22214,22214,22147,22121,22246,22221,22203,22222,22255,22183,22197,22104,22296,22285,22244,22152,22270,22245,22221,22285,22174,
X22,22147,22185,22236,22260,22213,22189,22221,22212,22194,22191,22224,22202,22316,22298,22207,22250,22274,22188,22091,22244,22133,22200,22232,22183,22118,22195,22083,22221,22201,22242,22200,22218,22138,22112,22244,22224,22185,22216,22217,22172,22200,22120,22294,22265,22231,22156,22284,22241,22212,22267,22153,
X23,22136,22168,22235,22245,22199,22200,22207,22207,22197,22175,22205,22196,22299,22285,22194,22244,22256,22174,22070,22222,22119,22168,22238,22167,22109,22188,22079,22233,22204,22233,22191,22200,22129,22101,22245,22203,22171,22192,22220,22170,22195,22100,22258,22227,22220,22138,22255,22215,22188,22256,22138,
X24,22131,22157,22211,22234,22181,22180,22202,22181,22179,22175,22199,22175,22295,22278,22199,22233,22253,22173,22075,22216,22104,22148,22219,22165,22090,22183,22067,22203,22189,22226,22199,22195,22120,22099,22228,22192,22169,22190,22210,22155,22183,22090,22255,22216,22205,22142,22245,22206,22182,22238,22153,
X25,22135,22151,22201,22232,22191,22190,22208,22181,22176,22181,22176,22166,22283,22269,22182,22238,22258,22177,22063,22227,22094,22151,22208,22173,22102,22187,22063,22206,22183,22217,22171,22197,22117,22103,22229,22184,22168,22177,22209,22161,22179,22109,22263,22239,22208,22149,22247,22211,22202,22240,22142,
X26,22146,22184,22212,22245,22205,22226,22242,22182,22159,22167,22204,22195,22291,22279,22198,22254,22276,22209,22099,22245,22134,22182,22235,22187,22122,22181,22087,22221,22190,22221,22195,22208,22131,22116,22240,22205,22180,22190,22223,22164,22177,22106,22293,22248,22230,22155,22260,22231,22207,22254,22144,
X27,22169,22195,22237,22246,22206,22224,22249,22186,22158,22197,22214,22198,22301,22285,22211,22262,22282,22218,22088,22243,22146,22201,22249,22190,22130,22208,22097,22239,22193,22231,22206,22212,22127,22132,22246,22202,22181,22227,22224,22169,22201,22130,22295,22258,22235,22158,22278,22222,22217,22267,22165,
X28,22180,22196,22242,22256,22217,22217,22255,22221,22188,22198,22210,22191,22292,22305,22216,22264,22286,22219,22104,22249,22146,22207,22263,22209,22133,22227,22095,22229,22221,22247,22207,22218,22151,22133,22266,22211,22212,22227,22256,22183,22196,22138,22303,22250,22235,22162,22283,22235,22225,22280,22165,
X29,22145,22191,22230,22244,22187,22202,22228,22211,22183,22173,22200,22191,22276,22280,22178,22255,22272,22189,22075,22237,22143,22204,22246,22186,22118,22198,22071,22214,22183,22220,22191,22206,22142,22110,22252,22205,22196,22206,22243,22176,22178,22121,22272,22240,22222,22158,22256,22214,22190,22248,22154,
