, 
Cm,Distribution
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50
X31,22474.0,22470.0,22550.0,22516.0,22510.0,22478.0,22497.0,22539.0,22422.0,22523.0,22533.0,22510.0,22519.0,22589.0,22610.0,22651.0,22671.0,22571.0,22495.0,22527.0,22566.0,22599.0,22619.0,22603.0,22656.0,22566.0,22613.0,22538.0,22626.0,22614.0,22616.0,22517.0,22645.0,22513.0,22693.0,22576.0,22659.0,22567.0,22537.0,22527.0,22589.0,22623.0,22581.0,22534.0,22600.0,22647.0,22620.0,22571.0,22613.0,22551.0,22499.0
X32,22469.0,22466.0,22562.0,22529.0,22524.0,22489.0,22497.0,22540.0,22421.0,22525.0,22554.0,22512.0,22525.0,22607.0,22617.0,22647.0,22666.0,22578.0,22496.0,22534.0,22562.0,22605.0,22622.0,22601.0,22659.0,22554.0,22610.0,22531.0,22622.0,22622.0,22606.0,22525.0,22653.0,22514.0,22694.0,22576.0,22664.0,22556.0,22557.0,22522.0,22606.0,22643.0,22596.0,22518.0,22601.0,22649.0,22612.0,22573.0,22608.0,22533.0,22493.0
X33,22469.0,22461.0,22546.0,22510.0,22516.0,22463.0,22491.0,22537.0,22427.0,22520.0,22540.0,22505.0,22525.0,22587.0,22601.0,22641.0,22647.0,22570.0,22490.0,22520.0,22560.0,22605.0,22621.0,22600.0,22636.0,22551.0,22604.0,22522.0,22611.0,22603.0,22588.0,22515.0,22632.0,22515.0,22678.0,22568.0,22654.0,22565.0,22554.0,22522.0,22594.0,22628.0,22572.0,22520.0,22577.0,22643.0,22602.0,22566.0,22598.0,22517.0,22468.0
X34,22468.0,22466.0,22541.0,22517.0,22518.0,22452.0,22488.0,22537.0,22431.0,22542.0,22546.0,22501.0,22526.0,22583.0,22608.0,22655.0,22665.0,22570.0,22496.0,22532.0,22552.0,22609.0,22616.0,22595.0,22636.0,22546.0,22607.0,22525.0,22631.0,22610.0,22608.0,22523.0,22643.0,22533.0,22709.0,22575.0,22661.0,22566.0,22555.0,22534.0,22583.0,22623.0,22583.0,22540.0,22584.0,22661.0,22608.0,22575.0,22605.0,22539.0,22495.0
X35,22497.0,22479.0,22545.0,22514.0,22513.0,22463.0,22492.0,22534.0,22425.0,22546.0,22554.0,22515.0,22530.0,22600.0,22621.0,22669.0,22682.0,22593.0,22487.0,22536.0,22569.0,22613.0,22630.0,22612.0,22648.0,22569.0,22623.0,22541.0,22659.0,22621.0,22618.0,22527.0,22663.0,22537.0,22709.0,22573.0,22652.0,22565.0,22560.0,22532.0,22591.0,22620.0,22588.0,22531.0,22604.0,22661.0,22630.0,22591.0,22606.0,22534.0,22500.0
X36,22491.0,22463.0,22548.0,22518.0,22520.0,22477.0,22497.0,22521.0,22434.0,22539.0,22549.0,22536.0,22540.0,22609.0,22617.0,22668.0,22658.0,22582.0,22485.0,22528.0,22576.0,22610.0,22632.0,22606.0,22661.0,22579.0,22629.0,22546.0,22651.0,22623.0,22626.0,22543.0,22662.0,22550.0,22706.0,22589.0,22657.0,22580.0,22577.0,22536.0,22588.0,22637.0,22591.0,22535.0,22602.0,22641.0,22630.0,22576.0,22610.0,22541.0,22506.0
X37,22505.0,22473.0,22551.0,22517.0,22511.0,22480.0,22510.0,22540.0,22436.0,22552.0,22553.0,22518.0,22541.0,22602.0,22616.0,22663.0,22671.0,22575.0,22475.0,22532.0,22581.0,22616.0,22654.0,22608.0,22668.0,22574.0,22640.0,22550.0,22655.0,22626.0,22619.0,22551.0,22663.0,22560.0,22719.0,22601.0,22661.0,22607.0,22590.0,22544.0,22601.0,22630.0,22595.0,22541.0,22596.0,22652.0,22630.0,22598.0,22622.0,22557.0,22520.0
, 
half_Cm,Distribution
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50
X0,21306.0,21468.0,21584.0,21598.0,21622.0,21560.0,21637.0,21638.0,21550.0,21681.0,21753.0,21607.0,21697.0,21818.0,21759.0,21854.0,21881.0,21766.0,21650.0,21705.0,21787.0,21807.0,21883.0,21881.0,21886.0,21868.0,21897.0,21869.0,21954.0,21978.0,21960.0,21852.0,22039.0,21898.0,22081.0,21991.0,22123.0,22031.0,21981.0,21953.0,22043.0,22083.0,22062.0,22002.0,22046.0,22106.0,22085.0,22088.0,22128.0,22069.0,21980.0
X1,21289.0,21468.0,21599.0,21599.0,21641.0,21581.0,21665.0,21644.0,21560.0,21693.0,21769.0,21626.0,21718.0,21820.0,21765.0,21862.0,21912.0,21794.0,21681.0,21720.0,21803.0,21824.0,21908.0,21901.0,21901.0,21894.0,21903.0,21883.0,21964.0,21970.0,21962.0,21860.0,22053.0,21895.0,22085.0,21986.0,22116.0,22036.0,21987.0,21955.0,22047.0,22090.0,22068.0,22025.0,22046.0,22101.0,22085.0,22096.0,22139.0,22082.0,21991.0
X2,21298.0,21486.0,21606.0,21627.0,21648.0,21581.0,21669.0,21667.0,21571.0,21715.0,21776.0,21643.0,21731.0,21846.0,21775.0,21872.0,21920.0,21801.0,21684.0,21730.0,21800.0,21824.0,21912.0,21910.0,21915.0,21902.0,21913.0,21897.0,21970.0,21982.0,21957.0,21869.0,22066.0,21903.0,22084.0,21993.0,22128.0,22022.0,21990.0,21969.0,22050.0,22108.0,22072.0,22028.0,22056.0,22113.0,22089.0,22094.0,22137.0,22076.0,21996.0
